relative_path,profile_index,profile_date,prediction_date,time_difference_days,latitude,longitude,data_mode,depth_metres_prototype,argo_temperature_c,oceanembed_temperature_c
aoml/2903434/profiles/D2903434_009.nc,0,2024-06-29,2024-06-29,0,11.79457,87.73091,D,5.0,29.731000900268555,29.654708725895635
aoml/2903434/profiles/D2903434_009.nc,0,2024-06-29,2024-06-29,0,11.79457,87.73091,D,10.0,29.715800091584363,29.56632447489678
aoml/2903434/profiles/D2903434_009.nc,0,2024-06-29,2024-06-29,0,11.79457,87.73091,D,20.0,29.6386399377443,29.389554166233502
aoml/2903434/profiles/D2903434_009.nc,0,2024-06-29,2024-06-29,0,11.79457,87.73091,D,30.0,29.574490940107935,29.212782503657152
aoml/2903434/profiles/D2903434_009.nc,0,2024-06-29,2024-06-29,0,11.79457,87.73091,D,50.0,29.552000045776367,28.831266294867582
aoml/2903434/profiles/D2903434_009.nc,0,2024-06-29,2024-06-29,0,11.79457,87.73091,D,75.0,27.067359436645347,27.359321689231102
aoml/2903434/profiles/D2903434_009.nc,0,2024-06-29,2024-06-29,0,11.79457,87.73091,D,100.0,21.45692172154961,24.526541769607146
aoml/2903434/profiles/D2903434_009.nc,0,2024-06-29,2024-06-29,0,11.79457,87.73091,D,125.0,18.099706074715947,20.919324072247377
aoml/2903434/profiles/D2903434_009.nc,0,2024-06-29,2024-06-29,0,11.79457,87.73091,D,150.0,16.20599937438965,17.979188647793098
aoml/2903434/profiles/D2903434_009.nc,0,2024-06-29,2024-06-29,0,11.79457,87.73091,D,200.0,13.942999839782715,14.238823364535511
aoml/2903434/profiles/D2903434_009.nc,0,2024-06-29,2024-06-29,0,11.79457,87.73091,D,300.0,11.663000106811523,11.771185028601803
aoml/2903434/profiles/D2903434_009.nc,0,2024-06-29,2024-06-29,0,11.79457,87.73091,D,500.0,9.883000373840332,9.40510088451688
aoml/2903434/profiles/D2903434_009.nc,0,2024-06-29,2024-06-29,0,11.79457,87.73091,D,700.0,8.46954951545828,8.079462305967903
aoml/2903434/profiles/D2903434_009.nc,0,2024-06-29,2024-06-29,0,11.79457,87.73091,D,1000.0,6.7779998779296875,6.465156820802453
aoml/2903434/profiles/D2903434_009.nc,1,2024-06-29,2024-06-29,0,11.79457,87.73091,D,5.0,29.731000900268555,29.654708725895635
aoml/2903434/profiles/D2903434_009.nc,1,2024-06-29,2024-06-29,0,11.79457,87.73091,D,10.0,29.711999893188477,29.56632447489678
aoml/2903434/profiles/D2903434_009.nc,1,2024-06-29,2024-06-29,0,11.79457,87.73091,D,20.0,29.641000747680664,29.389554166233502
aoml/2903434/profiles/D2903434_009.nc,1,2024-06-29,2024-06-29,0,11.79457,87.73091,D,30.0,29.57900047302246,29.212782503657152
aoml/2903434/profiles/D2903434_009.nc,1,2024-06-29,2024-06-29,0,11.79457,87.73091,D,50.0,29.55299949645996,28.831266294867582
csio/2902765/profiles/D2902765_159.nc,0,2024-06-07,2024-06-10,3,12.32,86.596,D,5.0,30.17799949645996,29.94346352111816
csio/2902765/profiles/D2902765_159.nc,0,2024-06-07,2024-06-10,3,12.32,86.596,D,10.0,30.179000854492188,29.854702108154296
csio/2902765/profiles/D2902765_159.nc,0,2024-06-07,2024-06-10,3,12.32,86.596,D,20.0,30.181703152214812,29.677177488403316
csio/2902765/profiles/D2902765_159.nc,0,2024-06-07,2024-06-10,3,12.32,86.596,D,30.0,30.089805449313896,29.499654145507808
csio/2902765/profiles/D2902765_159.nc,0,2024-06-07,2024-06-10,3,12.32,86.596,D,50.0,28.043274849814956,28.845828434448237
csio/2902765/profiles/D2902765_159.nc,0,2024-06-07,2024-06-10,3,12.32,86.596,D,75.0,24.079738755979353,27.144878372802737
csio/2902765/profiles/D2902765_159.nc,0,2024-06-07,2024-06-10,3,12.32,86.596,D,100.0,20.057799535624024,23.94108188598633
csio/2902765/profiles/D2902765_159.nc,0,2024-06-07,2024-06-10,3,12.32,86.596,D,125.0,17.726207211063198,20.383604892578127
csio/2902765/profiles/D2902765_159.nc,0,2024-06-07,2024-06-10,3,12.32,86.596,D,150.0,15.907829865951499,17.67417134399414
csio/2902765/profiles/D2902765_159.nc,0,2024-06-07,2024-06-10,3,12.32,86.596,D,200.0,13.589175833188145,14.128108364868165
csio/2902765/profiles/D2902765_159.nc,0,2024-06-07,2024-06-10,3,12.32,86.596,D,300.0,11.652202902092275,11.770840996093748
csio/2902765/profiles/D2902765_159.nc,0,2024-06-07,2024-06-10,3,12.32,86.596,D,500.0,10.050538159479686,9.38318975524902
csio/2902765/profiles/D2902765_159.nc,0,2024-06-07,2024-06-10,3,12.32,86.596,D,700.0,8.623790476731497,8.047245430908202
csio/2902765/profiles/D2902765_159.nc,0,2024-06-07,2024-06-10,3,12.32,86.596,D,1000.0,6.954128629596823,6.420088569335936
csio/2902765/profiles/D2902765_160.nc,0,2024-06-17,2024-06-17,0,11.882,86.44,D,0.0,29.690000534057617,29.90524491699219
